time,value
1991.1,6.621
1991.119165,6.433
1991.13833,6.582
1991.157495,7.224
1991.17666,6.875
1991.195825,6.947
1991.21499,7.328
1991.234155,6.777
1991.25332,7.503
1991.272485,6.916
1991.29165,7.045
1991.310815,6.956
1991.329979,6.976
1991.349144,7.185
1991.368309,6.899
1991.387474,7.396
1991.406639,7.287
1991.425804,7.22
1991.444969,7.651
1991.464134,7.72
1991.483299,7.543
1991.502464,7.961
1991.521629,7.327
1991.540794,7.38
1991.559959,7.501
1991.579124,7.605
1991.598289,7.584
1991.617454,7.401
1991.636619,7.505
1991.655784,7.427
1991.674949,6.993
1991.694114,7.402
1991.713279,7.391
1991.732444,7.088
1991.751608,6.949
1991.770773,7.506
1991.789938,7.396
1991.809103,7.421
1991.828268,7.159
1991.847433,7.379
1991.866598,7.369
1991.885763,6.652
1991.904928,6.769
1991.924093,6.828
1991.943258,7.344
1991.962423,7.447
1991.981588,7.186
1992.000753,6.642
1992.019918,6.788
1992.039083,6.783
1992.058248,7.037
1992.077413,7.112
1992.096578,7.039
1992.115743,6.576
1992.134908,7.002
1992.154073,6.77
1992.173238,7.002
1992.192402,6.806
1992.211567,7.221
1992.230732,7.379
1992.249897,7.027
1992.269062,7.744
1992.288227,6.464
1992.307392,7.376
1992.326557,7.899
1992.345722,7.318
1992.364887,7.174
1992.384052,7.086
1992.403217,7.774
1992.422382,7.104
1992.441547,7.129
1992.460712,7.407
1992.479877,7.701
1992.499042,7.572
1992.518207,7.813
1992.537372,7.422
1992.556537,7.792
1992.575702,7.433
1992.594867,7.796
1992.614031,7.7
1992.633196,7.365
1992.652361,7.814
1992.671526,7.326
1992.690691,7.473
1992.709856,7.181
1992.729021,7.286
1992.748186,7.293
1992.767351,7.514
1992.786516,7.204
1992.805681,7.276
1992.824846,7.509
1992.844011,6.923
1992.863176,7.056
1992.882341,7.24
1992.901506,7.138
1992.920671,7.432
1992.939836,7.354
1992.959001,7.4
1992.978166,7.596
1992.997331,7.358
1993.016496,6.852
1993.035661,6.726
1993.054825,7.131
1993.07399,6.603
1993.093155,7.322
1993.11232,6.779
1993.131485,7.325
1993.15065,6.961
1993.169815,7.188
1993.18898,7.1
1993.208145,7.239
1993.22731,7.194
1993.246475,6.964
1993.26564,6.797
1993.284805,7.561
1993.30397,7.392
1993.323135,7.47
1993.3423,7.657
1993.361465,7.649
1993.38063,7.295
1993.399795,7.364
1993.41896,7.018
1993.438125,7.74
1993.45729,7.392
1993.476454,7.804
1993.495619,7.868
1993.514784,7.578
1993.533949,8.113
1993.553114,7.916
1993.572279,7.336
1993.591444,8.033
1993.610609,7.581
1993.629774,8.187
1993.648939,7.629
1993.668104,7.386
1993.687269,7.889
1993.706434,7.478
1993.725599,7.485
1993.744764,7.387
1993.763929,7.276
1993.783094,7.613
1993.802259,7.704
1993.821424,7.788
1993.840589,7.64
1993.859754,7.552
1993.878919,7.992
1993.898084,6.845
1993.917248,7.43
1993.936413,8.074
1993.955578,7.684
1993.974743,7.411
1993.993908,7.567
1994.013073,7.124
1994.032238,7.124
1994.051403,7.157
1994.070568,6.321
1994.089733,6.953
1994.108898,7.487
1994.128063,6.993
1994.147228,7.372
1994.166393,7.286
1994.185558,7.214
1994.204723,7.521
1994.223888,7.481
1994.243053,7.398
1994.262218,7.187
1994.281383,7.72
1994.300548,7.042
1994.319713,7.892
1994.338877,6.824
1994.358042,7.552
1994.377207,7.938
1994.396372,8.028
1994.415537,7.461
1994.434702,7.77
1994.453867,7.65
1994.473032,7.909
1994.492197,7.93
1994.511362,7.562
1994.530527,8.006
1994.549692,7.523
1994.568857,7.581
1994.588022,7.638
1994.607187,8.187
1994.626352,7.836
1994.645517,7.75
1994.664682,8.061
1994.683847,6.955
1994.703012,7.601
1994.722177,7.763
1994.741342,7.733
1994.760507,7.515
1994.779671,7.562
1994.798836,8.143
1994.818001,8.204
1994.837166,7.432
1994.856331,7.377
1994.875496,7.929
1994.894661,7.431
1994.913826,7.593
1994.932991,8.229
1994.952156,7.933
1994.971321,8.278
1994.990486,7.718
1995.009651,7.134
1995.028816,7.534
1995.047981,7.26
1995.067146,6.976
1995.086311,7.267
1995.105476,7.132
1995.124641,7.398
1995.143806,7.67
1995.162971,7.194
1995.182136,7.548
1995.2013,7.834
1995.220465,7.797
1995.23963,8.195
1995.258795,7.588
1995.27796,7.543
1995.297125,8.156
1995.31629,7.731
1995.335455,7.539
1995.35462,8.052
1995.373785,8.183
1995.39295,7.797
1995.412115,8.46
1995.43128,8.055
1995.450445,7.971
1995.46961,8.489
1995.488775,8.238
1995.50794,7.996
1995.527105,7.866
1995.54627,8.483
1995.565435,8.213
1995.5846,8.402
1995.603765,7.628
1995.62293,8.411
1995.642094,8.206
1995.661259,7.825
1995.680424,8.078
1995.699589,8.249
1995.718754,7.821
1995.737919,7.257
1995.757084,8.106
1995.776249,7.879
1995.795414,7.712
1995.814579,8.103
1995.833744,7.449
1995.852909,8.477
1995.872074,8.021
1995.891239,7.84
1995.910404,7.439
1995.929569,7.949
1995.948734,7.489
1995.967899,8.115
1995.987064,7.035
1996.006229,7.958
1996.025394,7.513
1996.044559,6.949
1996.063723,7.393
1996.082888,7.513
1996.102053,7.52
1996.121218,7.868
1996.140383,7.826
1996.159548,7.338
1996.178713,7.877
1996.197878,7.757
1996.217043,7.9
1996.236208,7.568
1996.255373,7.28
1996.274538,7.804
1996.293703,7.433
1996.312868,8.079
1996.332033,7.592
1996.351198,8.267
1996.370363,7.512
1996.389528,8.08
1996.408693,7.836
1996.427858,7.946
1996.447023,7.957
1996.466188,7.956
1996.485352,8.563
1996.504517,8.015
1996.523682,7.968
1996.542847,8.152
1996.562012,8.067
1996.581177,8.279
1996.600342,7.722
1996.619507,7.818
1996.638672,8.364
1996.657837,8.369
1996.677002,7.843
1996.696167,7.537
1996.715332,8
1996.734497,7.619
1996.753662,7.935
1996.772827,7.637
1996.791992,7.958
1996.811157,7.991
1996.830322,7.682
1996.849487,7.804
1996.868652,8.073
1996.887817,7.883
1996.906982,7.37
1996.926146,7.706
1996.945311,8.355
1996.964476,8.051
1996.983641,7.74
1997.002806,7.122
1997.021971,7.44
1997.041136,7.408
1997.060301,7.265
1997.079466,7.125
1997.098631,7.013
1997.117796,7.53
1997.136961,8.011
1997.156126,7.779
1997.175291,7.417
1997.194456,8.125
1997.213621,7.729
1997.232786,7.492
1997.251951,8.115
1997.271116,7.791
1997.290281,7.914
1997.309446,7.922
1997.328611,8.224
1997.347775,7.765
1997.36694,8.253
1997.386105,8.088
1997.40527,8.154
1997.424435,7.59
1997.4436,8.009
1997.462765,8.557
1997.48193,8.234
1997.501095,8.489
1997.52026,8.606
1997.539425,8.595
1997.55859,8.6
1997.577755,8.29
1997.59692,8.253
1997.616085,8.539
1997.63525,7.922
1997.654415,8.695
1997.67358,8.053
1997.692745,8.215
1997.71191,7.746
1997.731075,8.14
1997.75024,8.379
1997.769405,8.221
1997.788569,8.315
1997.807734,7.741
1997.826899,8.355
1997.846064,8.025
1997.865229,7.793
1997.884394,8.043
1997.903559,7.578
1997.922724,8.437
1997.941889,7.955
1997.961054,8.151
1997.980219,8.201
1997.999384,7.832
1998.018549,7.673
1998.037714,7.779
1998.056879,7.94
1998.076044,7.67
1998.095209,7.673
1998.114374,8.201
1998.133539,8.005
1998.152704,7.662
1998.171869,7.744
1998.191034,8.103
1998.210198,7.753
1998.229363,7.996
1998.248528,8.992
1998.267693,8.031
1998.286858,8.303
1998.306023,8.118
1998.325188,8.19
1998.344353,7.503
1998.363518,8.524
1998.382683,8.337
1998.401848,8.205
1998.421013,8.312
1998.440178,8.103
1998.459343,8.16
1998.478508,8.644
1998.497673,8.755
1998.516838,8.234
1998.536003,8.749
1998.555168,8.125
1998.574333,8.997
1998.593498,8.317
1998.612663,8.981
1998.631828,8.288
1998.650992,8.607
1998.670157,8.713
1998.689322,8.722
1998.708487,7.873
1998.727652,8.359
1998.746817,8.058
1998.765982,8.797
1998.785147,8.049
1998.804312,8.099
1998.823477,8.36
1998.842642,8.195
1998.861807,7.711
1998.880972,8.381
1998.900137,8.313
1998.919302,8.162
1998.938467,8.314
1998.957632,8.588
1998.976797,8.153
1998.995962,8.519
1999.015127,7.385
1999.034292,7.81
1999.053457,8.186
1999.072621,7.866
1999.091786,7.532
1999.110951,8.756
1999.130116,7.948
1999.149281,8.316
1999.168446,8.273
1999.187611,8.451
1999.206776,8.367
1999.225941,8.337
1999.245106,7.959
1999.264271,7.878
1999.283436,8.066
1999.302601,8.923
1999.321766,7.825
1999.340931,8.059
1999.360096,8.761
1999.379261,8.275
1999.398426,8.401
1999.417591,8.193
1999.436756,8.827
1999.455921,8.522
1999.475086,9.045
1999.494251,9.076
1999.513415,8.679
1999.53258,8.622
1999.551745,8.639
1999.57091,8.537
1999.590075,8.644
1999.60924,8.519
1999.628405,8.415
1999.64757,8.81
1999.666735,8.778
1999.6859,8.593
1999.705065,8.504
1999.72423,8.865
1999.743395,8.557
1999.76256,8.433
1999.781725,8.406
1999.80089,8.521
1999.820055,8.532
1999.83922,8.333
1999.858385,8.416
1999.87755,8.404
1999.896715,8.416
1999.91588,7.67
1999.935044,8.557
1999.954209,8.638
1999.973374,8.59
1999.992539,8.851
2000.011704,7.907
2000.030869,7.543
2000.050034,7.919
2000.069199,8.385
2000.088364,7.642
2000.107529,8.375
2000.126694,8.524
2000.145859,8.072
2000.165024,7.608
2000.184189,8.662
2000.203354,8.201
2000.222519,8.384
2000.241684,7.896
2000.260849,8.655
2000.280014,8.557
2000.299179,8.616
2000.318344,8.302
2000.337509,8.679
2000.356674,8.242
2000.375838,8.408
2000.395003,9.075
2000.414168,8.863
2000.433333,8.403
2000.452498,8.895
2000.471663,8.475
2000.490828,8.62
2000.509993,8.519
2000.529158,8.844
2000.548323,8.361
2000.567488,8.614
2000.586653,8.759
2000.605818,8.813
2000.624983,8.786
2000.644148,8.96
2000.663313,8.644
2000.682478,8.573
2000.701643,8.814
2000.720808,8.153
2000.739973,7.819
2000.759138,8.34
2000.778303,8.663
2000.797467,8.604
2000.816632,8.942
2000.835797,8.78
2000.854962,8.216
2000.874127,8.419
2000.893292,8.063
2000.912457,8.233
2000.931622,8.711
2000.950787,8.475
2000.969952,8.4
2000.989117,8.693
2001.008282,7.825
2001.027447,8.225
2001.046612,7.894
2001.065777,7.338
2001.084942,8.589
2001.104107,8.032
2001.123272,7.85
2001.142437,8.187
2001.161602,8.489
2001.180767,8.425
2001.199932,8.484
2001.219097,8.475
2001.238261,8.507
2001.257426,8.306
2001.276591,8.438
2001.295756,8.708
2001.314921,8.404
2001.334086,8.665
2001.353251,8.275
2001.372416,8.917
2001.391581,8.27
2001.410746,8.809
2001.429911,8.428
2001.449076,8.393
2001.468241,8.921
2001.487406,9.036
2001.506571,8.622
2001.525736,9.095
2001.544901,9.176
2001.564066,9.007
2001.583231,8.959
2001.602396,8.671
2001.621561,9.035
2001.640726,8.943
2001.65989,8.612
2001.679055,8.529
2001.69822,8.969
2001.717385,7.834
2001.73655,8.514
2001.755715,8.5
2001.77488,8.766
2001.794045,8.619
2001.81321,8.702
2001.832375,8.797
2001.85154,8.771
2001.870705,8.612
2001.88987,8.868
2001.909035,8.517
2001.9282,8.327
2001.947365,8.622
2001.96653,8.888
2001.985695,8.86
2002.00486,8.288
2002.024025,8.359
2002.04319,8.049
2002.062355,8.184
2002.08152,8.223
2002.100684,8.117
2002.119849,8.428
2002.139014,8.729
2002.158179,8.782
2002.177344,8.277
2002.196509,8.713
2002.215674,8.621
2002.234839,8.386
2002.254004,8.865
2002.273169,8.84
2002.292334,8.684
2002.311499,8.699
2002.330664,8.521
2002.349829,8.548
2002.368994,9.19
2002.388159,8.685
2002.407324,8.778
2002.426489,9.004
2002.445654,8.771
2002.464819,8.752
2002.483984,9.172
2002.503149,9.004
2002.522313,8.985
2002.541478,9.056
2002.560643,9.093
2002.579808,9.297
2002.598973,9.27
2002.618138,8.939
2002.637303,9.173
2002.656468,9.135
2002.675633,8.844
2002.694798,8.899
2002.713963,8.625
2002.733128,8.582
2002.752293,8.895
2002.771458,9.09
2002.790623,8.653
2002.809788,9.022
2002.828953,9.324
2002.848118,8.759
2002.867283,8.54
2002.886448,8.667
2002.905613,9.06
2002.924778,8.616
2002.943943,8.854
2002.963107,9.063
2002.982272,8.989
2003.001437,8.411
2003.020602,8.335
2003.039767,8.645
2003.058932,8.793
2003.078097,8.551
2003.097262,8.106
2003.116427,8.454
2003.135592,8.619
2003.154757,8.421
2003.173922,9.02
2003.193087,8.596
2003.212252,8.666
2003.231417,8.284
2003.250582,8.458
2003.269747,8.64
2003.288912,8.737
2003.308077,8.358
2003.327242,8.834
2003.346407,8.894
2003.365572,8.992
2003.384736,9.299
2003.403901,8.516
2003.423066,8.529
2003.442231,8.88
2003.461396,8.833
2003.480561,9.476
2003.499726,9.05
2003.518891,8.763
2003.538056,9.177
2003.557221,9.563
2003.576386,9.303
2003.595551,9.381
2003.614716,9.325
2003.633881,9.668
2003.653046,9.337
2003.672211,8.886
2003.691376,8.974
2003.710541,9.166
2003.729706,8.69
2003.748871,9.19
2003.768036,9.156
2003.787201,8.754
2003.806366,9.413
2003.82553,9.316
2003.844695,8.995
2003.86386,9.232
2003.883025,8.725
2003.90219,8.979
2003.921355,8.776
2003.94052,8.93
2003.959685,9.166
2003.97885,8.726
2003.998015,8.686
2004.01718,8.411
2004.036345,8.426
2004.05551,8.543
2004.074675,8.514
2004.09384,8.627
2004.113005,8.727
2004.13217,8.796
2004.151335,8.97
2004.1705,8.968
2004.189665,9.044
2004.20883,8.818
2004.227995,8.731
2004.247159,9.249
2004.266324,9.338
2004.285489,8.973
2004.304654,9.255
2004.323819,8.926
2004.342984,9.373
2004.362149,9.119
2004.381314,9.154
2004.400479,9.259
2004.419644,9.045
2004.438809,9.219
2004.457974,9.194
2004.477139,9.199
2004.496304,9.398
2004.515469,9.3
2004.534634,8.84
2004.553799,9.31
2004.572964,9.263
2004.592129,9.472
2004.611294,9.521
2004.630459,9.424
2004.649624,9.267
2004.668789,9.453
2004.687953,9.234
2004.707118,9.005
2004.726283,8.922
2004.745448,8.915
2004.764613,8.917
2004.783778,9.177
2004.802943,8.883
2004.822108,8.977
2004.841273,9.217
2004.860438,9.237
2004.879603,8.988
2004.898768,9.204
2004.917933,9.107
2004.937098,9.268
2004.956263,9.068
2004.975428,9.329
2004.994593,9.287
2005.013758,8.71
2005.032923,8.695
2005.052088,8.881
2005.071253,8.848
2005.090418,8.837
2005.109582,8.825
2005.128747,8.898
2005.147912,8.884
2005.167077,9.014
2005.186242,9.131
2005.205407,9.069
2005.224572,9.075
2005.243737,9.095
2005.262902,9.089
2005.282067,9.17
2005.301232,9.306
2005.320397,9.024
2005.339562,9.175
2005.358727,9.269
2005.377892,9.443
2005.397057,9.461
2005.416222,9.451
2005.435387,9.528
2005.454552,9.313
2005.473717,9.367
2005.492882,9.721
2005.512047,9.391
2005.531211,9.415
2005.550376,9.449
2005.569541,9.586
2005.588706,9.483
2005.607871,9.408
2005.627036,9.471
2005.646201,9.406
2005.665366,9.027
2005.684531,8.636
2005.703696,8.819
2005.722861,8.836
2005.742026,8.84
2005.761191,8.783
2005.780356,8.961
2005.799521,8.981
2005.818686,9.045
2005.837851,9.246
2005.857016,9.151
2005.876181,9.124
2005.895346,9.189
2005.914511,9.221
2005.933676,9.268
2005.952841,9.326
2005.972005,9.249
2005.99117,9.358
2006.010335,8.95
2006.0295,8.859
2006.048665,8.826
2006.06783,8.879
2006.086995,8.967
2006.10616,9.083
2006.125325,9.046
2006.14449,8.951
2006.163655,9.057
2006.18282,9.106
2006.201985,9.1
2006.22115,9.054
2006.240315,9.063
2006.25948,9.297
2006.278645,9.1
2006.29781,9.012
2006.316975,9.099
2006.33614,9.346
2006.355305,9.327
2006.37447,9.193
2006.393634,9.43
2006.412799,9.367
2006.431964,9.413
2006.451129,9.429
2006.470294,9.54
2006.489459,9.645
2006.508624,9.621
2006.527789,9.569
2006.546954,9.573
2006.566119,9.639
2006.585284,9.697
2006.604449,9.53
2006.623614,9.571
2006.642779,9.61
2006.661944,9.622
2006.681109,9.368
2006.700274,9.229
2006.719439,9.287
2006.738604,9.081
2006.757769,9.242
2006.776934,9.298
2006.796099,9.511
2006.815264,9.499
2006.834428,9.256
2006.853593,9.11
2006.872758,9.149
2006.891923,9.32
2006.911088,9.477
2006.930253,9.394
2006.949418,9.491
2006.968583,9.229
2006.987748,9.247
2007.006913,9.201
2007.026078,9.06
2007.045243,9.008
2007.064408,9.09
2007.083573,9.136
2007.102738,9.061
2007.121903,9.198
2007.141068,9.121
2007.160233,9.191
2007.179398,9.158
2007.198563,9.24
2007.217728,9.25
2007.236893,9.491
2007.256057,9.472
2007.275222,9.247
2007.294387,9.163
2007.313552,9.26
2007.332717,9.344
2007.351882,9.404
2007.371047,9.433
2007.390212,9.485
2007.409377,9.495
2007.428542,9.487
2007.447707,9.591
2007.466872,9.575
2007.486037,9.557
2007.505202,9.663
2007.524367,9.71
2007.543532,9.688
2007.562697,9.662
2007.581862,9.575
2007.601027,9.572
2007.620192,9.762
2007.639357,9.626
2007.658522,9.577
2007.677687,9.393
2007.696851,9.247
2007.716016,9.235
2007.735181,9.12
2007.754346,9.2
2007.773511,9.253
2007.792676,9.373
2007.811841,9.355
2007.831006,9.367
2007.850171,9.187
2007.869336,9.222
2007.888501,9.356
2007.907666,9.266
2007.926831,9.348
2007.945996,9.287
2007.965161,9.446
2007.984326,9.286
2008.003491,9.304
2008.022656,9.116
2008.041821,8.964
2008.060986,8.94
2008.080151,8.916
2008.099316,9.02
2008.11848,9.125
2008.137645,9.045
2008.15681,9.071
2008.175975,9.131
2008.19514,9.071
2008.214305,9.116
2008.23347,9.33
2008.252635,9.286
2008.2718,9.338
2008.290965,9.215
2008.31013,9.189
2008.329295,9.311
2008.34846,9.343
2008.367625,9.359
2008.38679,9.373
2008.405955,9.129
2008.42512,9.411
2008.444285,9.251
2008.46345,9.334
2008.482615,9.357
2008.50178,9.347
2008.520945,9.344
2008.54011,9.342
2008.559274,9.468
2008.578439,9.484
2008.597604,9.446
2008.616769,9.423
2008.635934,9.411
2008.655099,9.424
2008.674264,9.09
2008.693429,8.907
2008.712594,8.741
2008.731759,8.73
2008.750924,8.691
2008.770089,8.894
2008.789254,9.065
2008.808419,9.057
2008.827584,9.095
2008.846749,9.002
2008.865914,8.962
2008.885079,8.844
2008.904244,8.933
2008.923409,9.015
2008.942574,9.175
2008.961739,8.867
2008.980903,9.106
2009.000068,8.99
2009.019233,8.758
2009.038398,8.641
2009.057563,8.65
2009.076728,9.015
2009.095893,9.006
2009.115058,8.908
2009.134223,9.01
2009.153388,9.204
2009.172553,8.972
2009.191718,8.955
2009.210883,9.1
2009.230048,9.125
2009.249213,9.024
2009.268378,8.944
2009.287543,9.136
2009.306708,9.151
2009.325873,8.923
2009.345038,8.911
2009.364203,9.232
2009.383368,9.538
2009.402533,9.02
2009.421697,9.141
2009.440862,9.354
2009.460027,9.129
2009.479192,9.053
2009.498357,9.229
2009.517522,9.163
2009.536687,9.255
2009.555852,9.171
2009.575017,9.199
2009.594182,8.951
2009.613347,9.205
2009.632512,9.105
2009.651677,9.478
2009.670842,9.283
2009.690007,9.001
2009.709172,8.79
2009.728337,9.126
2009.747502,9.269
2009.766667,9.256
2009.785832,8.95
2009.804997,8.858
2009.824162,9.015
2009.843326,8.844
2009.862491,9.015
2009.881656,9.092
2009.900821,8.943
2009.919986,9.012
2009.939151,8.963
2009.958316,9.045
2009.977481,9.074
2009.996646,8.741
2010.015811,8.74
2010.034976,8.602
2010.054141,8.619
2010.073306,8.613
2010.092471,8.766
2010.111636,8.521
2010.130801,9.064
2010.149966,8.882
2010.169131,8.992
2010.188296,8.849
2010.207461,9.087
2010.226626,9.06
2010.245791,9.076
2010.264956,9.325
2010.28412,9.152
2010.303285,9.29
2010.32245,9.282
2010.341615,9.14
2010.36078,9.092
2010.379945,9.099
2010.39911,9.174
2010.418275,9.194
2010.43744,9.338
2010.456605,9.241
2010.47577,9.462
2010.494935,9.449
2010.5141,9.08
2010.533265,9.435
2010.55243,9.632
2010.571595,9.477
2010.59076,9.236
2010.609925,9.459
2010.62909,9.375
2010.648255,9.386
2010.66742,9.263
2010.686585,9.019
2010.705749,8.847
2010.724914,9.383
2010.744079,8.989
2010.763244,8.812
2010.782409,8.891
2010.801574,9.358
2010.820739,9.015
2010.839904,9.056
2010.859069,8.952
2010.878234,8.829
2010.897399,8.867
2010.916564,9.171
2010.935729,9.349
2010.954894,9.213
2010.974059,9.399
2010.993224,8.853
2011.012389,8.819
2011.031554,8.775
2011.050719,8.632
2011.069884,8.549
2011.089049,8.524
2011.108214,8.81
2011.127379,9.101
2011.146543,9.162
2011.165708,9.192
2011.184873,8.83
2011.204038,9.074
2011.223203,8.866
2011.242368,8.853
2011.261533,9.181
2011.280698,9.062
2011.299863,9.148
2011.319028,8.943
2011.338193,8.826
2011.357358,9.048
2011.376523,9.025
2011.395688,9.431
2011.414853,9.163
2011.434018,9.37
2011.453183,9.319
2011.472348,9.261
2011.491513,9.309
2011.510678,9.016
2011.529843,9.028
2011.549008,8.999
2011.568172,9.215
2011.587337,9.244
2011.606502,9.195
2011.625667,9.009
2011.644832,9.229
2011.663997,8.956
2011.683162,8.848
2011.702327,8.858
2011.721492,8.964
2011.740657,8.959
2011.759822,9.01
2011.778987,8.598
2011.798152,8.501
2011.817317,8.518
2011.836482,8.671
2011.855647,8.625
2011.874812,8.592
2011.893977,8.769
2011.913142,8.574
2011.932307,8.666
2011.951472,8.879
2011.970637,8.923
2011.989802,8.556
2012.008966,8.179
2012.028131,7.996
2012.047296,8.098
2012.066461,8.018
2012.085626,8.039
2012.104791,8.167
2012.123956,8.628
2012.143121,8.363
2012.162286,8.262
2012.181451,8.415
2012.200616,8.379
2012.219781,8.71
2012.238946,8.783
2012.258111,8.681
2012.277276,8.775
2012.296441,8.496
2012.315606,8.692
2012.334771,8.864
2012.353936,8.971
2012.373101,8.633
2012.392266,8.931
2012.411431,8.648
2012.430595,9.13
2012.44976,8.693
2012.468925,8.846
2012.48809,9.001
2012.507255,8.917
2012.52642,8.628
2012.545585,8.66
2012.56475,8.82
2012.583915,8.839
2012.60308,9.308
2012.622245,9.081
2012.64141,9.064
2012.660575,9.177
2012.67974,8.695
2012.698905,8.632
2012.71807,8.77
2012.737235,8.633
2012.7564,8.587
2012.775565,8.729
2012.79473,8.493
2012.813895,8.844
2012.83306,8.307
2012.852225,8.908
2012.871389,8.898
2012.890554,8.427
2012.909719,8.354
2012.928884,8.488
2012.948049,8.618
2012.967214,8.608
2012.986379,8.518
2013.005544,8.01
2013.024709,8.32
2013.043874,8.431
2013.063039,8.501
2013.082204,8.415
2013.101369,8.404
2013.120534,8.437
2013.139699,8.597
2013.158864,8.364
2013.178029,8.627
2013.197194,8.324
2013.216359,8.399
2013.235524,8.523
2013.254689,8.477
2013.273854,8.383
2013.293018,8.75
2013.312183,8.415
2013.331348,8.445
2013.350513,8.341
2013.369678,8.79
2013.388843,8.956
2013.408008,8.822
2013.427173,8.648
2013.446338,8.84
2013.465503,8.894
2013.484668,9.294
2013.503833,9.299
2013.522998,8.729
2013.542163,8.982
2013.561328,9.147
2013.580493,9.246
2013.599658,9.19
2013.618823,9.2
2013.637988,9.031
2013.657153,9.094
2013.676318,8.605
2013.695483,9.028
2013.714648,8.846
2013.733812,8.527
2013.752977,8.846
2013.772142,9.077
2013.791307,8.797
2013.810472,9.054
2013.829637,9.292
2013.848802,9.032
2013.867967,8.924
2013.887132,8.909
2013.906297,8.873
2013.925462,8.348
2013.944627,9.016
2013.963792,9.176
2013.982957,8.893
2014.002122,8.274
2014.021287,8.021
2014.040452,8.059
2014.059617,8.584
2014.078782,8.452
2014.097947,8.325
2014.117112,8.03
2014.136277,8.535
2014.155441,8.411
2014.174606,8.949
2014.193771,8.512
2014.212936,9.002
2014.232101,8.713
2014.251266,8.996
2014.270431,8.616
2014.289596,8.43
2014.308761,8.693
2014.327926,8.719
2014.347091,9.191
2014.366256,9.174
2014.385421,9.31
2014.404586,9.104
2014.423751,8.624
2014.442916,9.258
2014.462081,8.813
2014.481246,9.168
2014.500411,8.935
2014.519576,9.057
2014.538741,8.792
2014.557906,9.006
2014.57707,9.359
2014.596235,8.922
2014.6154,8.775
2014.634565,9.1
2014.65373,9.48
2014.672895,8.611
2014.69206,8.707
2014.711225,8.781
2014.73039,8.66
2014.749555,8.645
2014.76872,9.043
2014.787885,8.836
2014.80705,8.867
2014.826215,9.162
2014.84538,9.005
2014.864545,9.194
2014.88371,9.254
2014.902875,9.425
2014.92204,8.549
2014.941205,9.373
2014.96037,9.518
2014.979535,9.614
2014.9987,8.809
2015.017864,8.875
2015.037029,8.851
2015.056194,9.022
2015.075359,8.442
2015.094524,8.282
2015.113689,8.809
2015.132854,8.915
2015.152019,8.63
2015.171184,8.515
2015.190349,9.26
2015.209514,8.619
2015.228679,9.435
2015.247844,8.61
2015.267009,8.914
2015.286174,9.185
2015.305339,8.92
2015.324504,8.785
2015.343669,9.201
2015.362834,9.261
2015.381999,9.734
2015.401164,8.978
2015.420329,9.6
2015.439493,9.176
2015.458658,9.655
2015.477823,9.731
2015.496988,9.532
2015.516153,9.404
2015.535318,9.749
2015.554483,9.339
2015.573648,9.687
2015.592813,9.686
2015.611978,9.705
2015.631143,9.189
2015.650308,9.438
2015.669473,9.017
2015.688638,8.983
2015.707803,9.215
2015.726968,9.021
2015.746133,8.958
2015.765298,9.137
2015.784463,9.157
2015.803628,9.343
2015.822793,9.184
2015.841958,9.388
2015.861123,9.054
2015.880287,8.921
2015.899452,9.281
2015.918617,9.42
2015.937782,9.22
2015.956947,9.185
2015.976112,9.395
2015.995277,8.159
2016.014442,8.5
2016.033607,9.079
2016.052772,8.941
2016.071937,8.341
2016.091102,9.122
2016.110267,9.203
2016.129432,9.576
2016.148597,9.121
2016.167762,9.411
2016.186927,9.458
2016.206092,9.503
2016.225257,9.244
2016.244422,9.224
2016.263587,9.633
2016.282752,9.444
2016.301916,9.315
2016.321081,9.502
2016.340246,9.658
2016.359411,9.755
2016.378576,9.516
2016.397741,9.716
2016.416906,9.568
2016.436071,9.762
2016.455236,9.815
2016.474401,9.709
2016.493566,9.755
2016.512731,9.671
2016.531896,9.785
2016.551061,9.797
2016.570226,9.752
2016.589391,9.769
2016.608556,9.762
2016.627721,9.659
2016.646886,9.511
2016.666051,9.595
2016.685216,9.406
2016.704381,9.65
2016.723546,8.88
2016.74271,9.39
2016.761875,9.264
2016.78104,8.798
2016.800205,9.118
2016.81937,9.183
2016.838535,9.213
2016.8577,9.359
2016.876865,9.024
2016.89603,9.08
2016.915195,8.757
2016.93436,8.874
2016.953525,9.269
2016.97269,9.278
2016.991855,8.465
2017.01102,8.47
2017.030185,8.069
2017.04935,8.039
